german,english
Hallo,Hello
Danke,Thank you
Auf_Wiedersehen,Goodbye
Bitte,Please
Ja,Yes
Nein,No
Entschuldigung,Excuse me / I'm sorry
Guten_Morgen,Good morning
Guten_Abend,Good evening
Es_tut_mir_leid,I'm sorry
Bitte,Please (go ahead)
Freut_mich,Nice to meet you
Guten_Appetit,(phrase before eating)
Danke_für_das_Essen,(phrase after eating)
Tschüss,See you
Hier,This way
Das,That
Jenes,That over there
Dieses,This
Du,You
Ich,I / Me
Er,He / Him
Sie,She / Her
Was,What
Wann,When
Wo,Where
Wer,Who
Warum,Why
Wie,How
Mehr,More
Ein_bisschen,A little
In_Ordnung,Okay / Alright
Wirklich,Really / True
Spaß,Fun
Glücklich,Happy
Traurig,Sad
Lecker,Delicious
Interessant,Interesting / Funny
Schwierig,Difficult
Einfach,Easy
Toll,Amazing / Great
Ich_liebe_es,Love (something)
Gesund,Healthy / Energetic
Pass_auf_dich_auf,Take care
Ich_bin_zu_Hause,I'm back
Willkommen_zurück,Welcome back
Gute_Arbeit,Thank you for your hard work
Viel_Erfolg,Do your best / Good luck
Lange_nicht_gesehen,Long time no see
Willkommen,Welcome (to a store)
Herzlich_Willkommen,Welcome
Nun,Well then
Gern_geschehen,You're welcome
Name,Name
"Ja,_bitte",Here you go
Sofort,Immediately
Ein_bisschen,A little / Excuse me
Noch_einmal,One more time
Ein_Moment,A little / Just a moment
Bitte_warten_Sie,Please wait
Bauch,Stomach
Bad,Bath
Tee,Tea
Wasser,Water
Alkohol,Alcohol
Geschäft,Store / Shop
Kunde,Customer / Guest
Wie_geht_es_Ihnen?,How are you?
Danke_für_Ihre_Unterstützung,Thank you for your 
